cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img2.od-cdn.com/ImageType-100/0293-1/{8632EFF0-8190-4ED8-A286-62814984A04F}IMG100.JPG,Raising Them Right,Kyle Spencer,HarperCollins,9780063041387,"March 07, 2023 03:57",Returned, 4 days  early,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{D920110A-A5E1-4269-A976-CEFB78DD5201}Img100.jpg,The Girl in the Tower,Katherine Arden,Random House Worlds,9781101885970,"March 07, 2023 03:55",Returned, 16 days  early,The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/0111-1/{65577D30-0EA8-4BCA-80D1-EFDF4A192439}Img100.jpg,The Winter of the Witch,Katherine Arden,Random House Worlds,9781101886007,"March 07, 2023 03:02",Borrowed, 13 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"March 07, 2023 03:02",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0111-1/{65577D30-0EA8-4BCA-80D1-EFDF4A192439}Img100.jpg,The Winter of the Witch,Katherine Arden,Random House Worlds,9781101886007,"March 05, 2023 04:12",Placed on hold,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{D920110A-A5E1-4269-A976-CEFB78DD5201}Img100.jpg,The Girl in the Tower,Katherine Arden,Random House Worlds,9781101885970,"March 02, 2023 04:41",renew,"",The Ohio Digital Library
https://img3.od-cdn.com/ImageType-100/2183-1/{00DCB9C2-FB8C-4AC7-A6D4-3FB9C259AE73}IMG100.JPG,A Day of Fallen Night,Samantha Shannon,Bloomsbury Publishing,9781635577938,"March 01, 2023 02:03",Placed on hold,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0027-1/{CCAD91E3-6D51-4C6E-9FD0-D38A3EB31B15}Img100.jpg,Wednesday the Rabbi Got Wet,Harry Kemelman,RosettaBooks,"","March 01, 2023 02:02",Returned, 6 days  early,The Ohio Digital Library
https://img3.od-cdn.com/ImageType-100/0027-1/{70207BB4-90AC-427F-BE5E-128F41B4C7A2}Img100.jpg,Thursday the Rabbi Walked Out,Harry Kemelman,RosettaBooks,"","February 26, 2023 03:20",Borrowed, 21 days ,The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/0293-1/{8632EFF0-8190-4ED8-A286-62814984A04F}IMG100.JPG,Raising Them Right,Kyle Spencer,HarperCollins,9780063041387,"February 25, 2023 05:26",Borrowed, 14 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/1523-1/{ED2C357D-CFAD-46B7-A7CF-E8F81F3183C4}IMG100.JPG,Your Money or Your Life,"Vicki Robin, Joe Dominguez",Penguin Publishing Group,9781101539705,"February 24, 2023 04:21",Returned,on due date,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"February 23, 2023 02:41",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0027-1/{1E0B2BC9-C07E-42BF-8796-EE37AEB6B9B5}Img100.jpg,Tuesday the Rabbi Saw Red,Harry Kemelman,RosettaBooks,"","February 20, 2023 00:49",Returned, 2 days  early,Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/0027-1/{CCAD91E3-6D51-4C6E-9FD0-D38A3EB31B15}Img100.jpg,Wednesday the Rabbi Got Wet,Harry Kemelman,RosettaBooks,"","February 14, 2023 02:10",Borrowed, 21 days ,The Ohio Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{D920110A-A5E1-4269-A976-CEFB78DD5201}Img100.jpg,The Girl in the Tower,Katherine Arden,Random House Worlds,9781101885970,"February 12, 2023 04:28",Borrowed, 21 days ,The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"February 11, 2023 17:28",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/2390-1/{60B7EA52-249F-465F-A849-60712EE32FB8}IMG100.JPG,The Lost Metal,Brandon Sanderson,Tor Publishing Group,9780765391209,"February 11, 2023 12:45",Returned,on due date,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0027-1/{1E0B2BC9-C07E-42BF-8796-EE37AEB6B9B5}Img100.jpg,Tuesday the Rabbi Saw Red,Harry Kemelman,RosettaBooks,"","February 01, 2023 02:02",Borrowed, 21 days ,Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"January 31, 2023 15:51",renew,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{3309FFA1-07EF-4F6B-A0F5-C5F73E2B382F}Img100.jpg,God Emperor of Dune,Frank Herbert,Penguin Publishing Group,9781440631979,"January 29, 2023 04:21",Returned,on due date,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/2390-1/{60B7EA52-249F-465F-A849-60712EE32FB8}IMG100.JPG,The Lost Metal,Brandon Sanderson,Tor Publishing Group,9780765391209,"January 28, 2023 12:45",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{ED2C357D-CFAD-46B7-A7CF-E8F81F3183C4}IMG100.JPG,Your Money or Your Life,"Vicki Robin, Joe Dominguez",Penguin Publishing Group,9781101539705,"January 28, 2023 12:45",renew,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0027-1/{32A1C6FB-D852-441D-8DFA-42BDC2D182D8}Img100.jpg,Monday the Rabbi Took Off,Harry Kemelman,RosettaBooks,"","January 28, 2023 12:45",Returned, 6 days  early,The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"January 20, 2023 03:45",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/1694-1/{7C87CD16-BA37-4D91-8B8B-FEE8E43F97A5}Img100.jpg,Monday the Rabbi Took Off,Harry Kemelman,"Recorded Books, Inc.",9781470338152,"January 20, 2023 03:45",Returned, 12 days  early,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2363-1/{E43505C5-881B-4D6B-9847-479720B0DAFC}IMG100.JPG,Sunday the Rabbi Stayed Home,Harry Kemelman,Open Road Media,9781504016063,"January 17, 2023 14:39",Returned,on due date,St. Joseph County Public Library
